"n","B","j","relax_lambda","proj_lambda","delta_lambda","psi_relax","psi_proj","psi_delta","se_relax_np","se_proj_np","se_delta_np","lower_relax_np","upper_relax_np","lower_proj_np","upper_proj_np","lower_delta_np","upper_delta_np","s0","s0.1","s0.2","s0.3","s0.4","s0.5","s0.6","s0.7","s0.8","lambda.min","lambda.min.1","lambda.min.2","lambda.min.3","lambda.min.4","lambda.min.5","lambda.min.6","lambda.min.7","lambda.min.8","se_relax_delta","se_proj_delta","se_delta_delta","lower_relax_delta","upper_relax_delta","lower_proj_delta","upper_proj_delta","lower_delta_delta","upper_delta_delta"
500,1,1,0.233883486817284,0.233883486817284,0.233883486817284,1.54537723569968,1.53209796659172,1.5312430251333,0.117670964657045,0.117821091050046,0.117821355414891,1.31474214497187,1.77601232642749,1.30116862813363,1.76302730504981,1.30031316852011,1.76217288174648,0.0951793560720267,0.102958899013354,0.102958792534937,1.35882569779851,1.73192877360085,1.33029852452555,1.73389740865789,1.32944379176482,1.73304225850177,0.093228957586122,0.101520964741204,0.101763097260289,1.36264847883088,1.72810599256848,1.33311687569896,1.73107905748448,1.33178735450313,1.73069869576347,0.117414329776731,0.1175216805578,0.117521847222408,1.31524514933729,1.77550932206207,1.30175547269843,1.76244046048501,1.30090020457738,1.76158584568922
500,1,2,0.153879716675852,0.153879716675852,0.153879716675852,1.54537723569968,1.53209883285184,1.53206855720932,0.11811751428467,0.117821102259264,0.117821098967313,1.31386690770173,1.77688756369763,1.30116947242368,1.76302819328,1.30113920323338,1.76299791118525,0.0940496207944912,0.10327574139455,0.103275668959171,1.36103997894248,1.72971449245688,1.32967837971852,1.73451928598516,1.32964824604934,1.73448886836929,0.0921611156101944,0.101817148185182,0.101681397686276,1.3647414491037,1.72601302229566,1.33253722240888,1.7316604432948,1.33277301774421,1.73136409667442,0.117698835294287,0.117366839415717,0.117366837348298,1.31468751852288,1.77606695287648,1.30205982759704,1.76213783810664,1.30202955600665,1.76210755841198
500,2,1,0.104416458517643,0.104416458517643,0.104416458517643,1.39812955086919,1.38631582544453,1.38633537828817,0.115437313783017,0.114571681799363,0.114571705962946,1.17187241585447,1.6243866858839,1.16175532911778,1.61087632177128,1.16177483460079,1.61089592197554,0.0948603135602144,0.101030930110011,0.101030928673847,1.21220333629117,1.58405576544721,1.1882952024289,1.58433644846015,1.18831475808743,1.58435599848891,0.0903879534339746,0.0961717358412735,0.0957501796282986,1.2209691621386,1.57528993959978,1.19781922319563,1.57481242769342,1.1986650262167,1.57400573035963,0.115319129618955,0.114555432879236,0.114555448477988,1.17210405681603,1.62415504492234,1.16178717700122,1.61084447388783,1.16180669927131,1.61086405730502
500,2,2,0.0686990572598359,0.0686990572598359,0.0686990572598359,1.39812955086919,1.38631624643899,1.38633537874165,0.115261657187037,0.114571682933098,0.114571706267836,1.17221670278259,1.62404239895578,1.16175574789012,1.61087674498786,1.16177483445669,1.61089592302661,0.0945889132714249,0.101035229627383,0.101035237455494,1.21273528085719,1.58352382088118,1.18828719636932,1.58434529650866,1.18830631332888,1.58436444415442,0.0871974052858724,0.0957502385800133,0.0961716833472393,1.22722263650888,1.5690364652295,1.19864577882217,1.57398671405582,1.19783887938106,1.57483187810224,0.115180369662261,0.114558270077247,0.114558284973558,1.17237602633115,1.62388307540722,1.16178203708759,1.6108504557904,1.16180114019348,1.61086961728983
500,3,1,0.151120960123243,0.151120960123243,0.151120960123243,1.51899220784758,1.55737700718013,1.55649276775409,0.114351067077458,0.1147043600528,0.114704896393085,1.29486411637576,1.74312029931939,1.33255646147664,1.78219755288362,1.33167117082364,1.78131436468454,0.0956130697503738,0.100239558168349,0.100240287044397,1.33159059113684,1.70639382455831,1.36090747317016,1.75384654119009,1.36002180514707,1.75296373036111,0.0829798088469005,0.0952254770811504,0.0952259764714708,1.35635178250765,1.6816326331875,1.37073507210107,1.74401894225918,1.36984985387001,1.74313568163817,0.115010809820363,0.115504981201571,0.11550530152286,1.29357102059966,1.74441339509549,1.33098724402505,1.78376677033521,1.33010237676928,1.7828831587389
500,3,2,0.099427500607233,0.099427500607233,0.099427500607233,1.51899220784758,1.55738397229493,1.5573655719421,0.114911796781458,0.114704329599785,0.114704332010534,1.29376508615592,1.74421932953923,1.33256348627935,1.78220445831051,1.33254508120146,1.78218606268275,0.095209292412535,0.100790470813761,0.100790556035173,1.33238199471901,1.70560242097615,1.35983464949996,1.7549332950899,1.35981608211316,1.75491506177104,0.081048619269228,0.0993215796019239,0.099752207136643,1.36013691407989,1.67784750161526,1.36271367627516,1.7520542683147,1.36185124595428,1.75287989792992,0.115434379530713,0.115391401299873,0.115391372945936,1.29274082396738,1.74524359172777,1.33121682574718,1.78355111884268,1.33119848096807,1.78353266291614
500,4,1,0.242557112457587,0.242557112457587,0.242557112457587,1.54238105942871,1.49785306792186,1.49698978691834,0.122363967503543,0.122920420957686,0.122920745446712,1.30254768312177,1.78221443573565,1.2569290428448,1.73877709299893,1.25606512584278,1.73791444799389,0.103569476900994,0.109815385152634,0.109815694973093,1.33938488470276,1.74537723415466,1.2826149130227,1.71309122282102,1.28175102477107,1.7122285490656,0.101786534042464,0.108760104996897,0.108423003406141,1.34287945270548,1.74188266615194,1.28468326212794,1.71102287371578,1.2844807002423,1.70949887359437,0.121828580340685,0.122360009999527,0.122360125561448,1.30359704196097,1.78116507689645,1.25802744832279,1.73767868752093,1.2571639408179,1.73681563301878
500,4,2,0.159586383162849,0.159586383162849,0.159586383162849,1.54238105942871,1.49785389942375,1.49782456349322,0.121900304717023,0.122920373151112,0.122920411985103,1.30345646218334,1.78130565667408,1.25692996804757,1.73877783079993,1.25690055600242,1.73874857098402,0.102592014300025,0.110038534320193,0.110038426840194,1.34130071140066,1.74346140745676,1.28217837215617,1.71352942669133,1.28214924688644,1.7134998801,0.096111741882063,0.108350785798749,0.108617829614199,1.35400204533987,1.73076007351755,1.2854863592582,1.7102214395893,1.28493361744939,1.71071550953705,0.121315885580696,0.122174340640122,0.122174377152429,1.30460192369055,1.78016019516687,1.25839219176911,1.73731560707839,1.25836278427446,1.73728634271198
500,5,1,0.185196642867611,0.185196642867611,0.185196642867611,1.49010444250267,1.4843074289017,1.48429182330706,0.122982990559937,0.122291321575562,0.12229148285945,1.24905778100519,1.73115110400015,1.24461643861359,1.7239984191898,1.24460051690254,1.72398312971158,0.105729925447495,0.110455504462003,0.110455549556556,1.28287378862558,1.69733509637976,1.26781464015617,1.70080021764722,1.26779894617621,1.70078470043791,0.101155770945214,0.1078811379744,0.107404864948503,1.29183913145005,1.68836975355529,1.27286039847187,1.69575445933152,1.27377828800799,1.69480535860613,0.122664535676486,0.121987030950938,0.121987183000247,1.24968195257676,1.73052693242858,1.24521284823786,1.72340200956553,1.24519694462658,1.72338670198754
500,5,2,0.121847024437644,0.121847024437644,0.121847024437644,1.49010444250267,1.48430701406033,1.48429184204102,0.124947713566952,0.122291352568141,0.122291495098649,1.24520692391144,1.7350019610939,1.24461596302677,1.72399806509388,1.24460051164766,1.72398317243437,0.105872725130824,0.111021537226728,0.111021513449889,1.28259390124625,1.69761498375909,1.26670480109594,1.70190922702471,1.26668967567923,1.7018940084028,0.101459107634968,0.104907013354776,0.10625281534102,1.29124459153813,1.68896429346721,1.27868926788497,1.68992476023569,1.27603632397262,1.69254736010941,0.124464116845541,0.121914016960941,0.121914167714317,1.24615477348541,1.73405411151993,1.24535554081688,1.72325848730377,1.24534007332095,1.72324361076108
