"n","B","j","delta_lambda","kappa_IM","psi_delta","se_delta","lower_delta","upper_delta"
500,1,1,0.982785399186309,33770.2693612056,1.54199270144183,0.171021564878116,1.20679043428072,1.87719496860294
500,2,1,0.913915108467845,17.149284976719,1.53759268077106,0.162997787963729,1.21811701636215,1.85706834517997
500,3,1,0.769053082888104,51560.0147496379,2.61047535977647,0.288655828545349,2.04470993582759,3.17624078372536
500,4,1,1.20417290243985,58.1585931332407,1.29169314125244,0.192599263220189,0.914198585340872,1.66918769716401
500,5,1,0.473331348681572,218581.239814103,2.52610552408938,0.258939369930838,2.01858435902494,3.03362668915382
500,6,1,0.687237757040111,14.6109193078774,1.49120498122607,0.168628732374568,1.16069266577192,1.82171729668022
500,7,1,1.13385510956954,1,-1.72477752596134,0.395873400118874,-2.50068939019434,-0.948865661728352
500,8,1,0.936741985741757,197.203112627511,1.09709616436098,0.172383204490631,0.759225083559341,1.43496724516261
500,9,1,0.724242257546451,4984.45476937199,1.77543592180279,0.152668505745526,1.47620565054156,2.07466619306402
500,10,1,0.888762412446573,15.3838753176227,1.30888368440786,0.179657686719172,0.956754618438283,1.66101275037744
500,11,1,0.601853433100279,157469.614076436,3.72428384407391,0.457016312151339,2.82853187225728,4.62003581589053
500,12,1,0.815630300741262,14.9488004004053,1.51105460179107,0.161152138206355,1.19519641090661,1.82691279267553
500,13,1,1.04721778648807,8.23160943157604,1.48517933522588,0.152508156687147,1.18626334811907,1.78409532233269
500,14,1,0.81042252485077,10277.9808536092,1.80735170176497,0.205153135363905,1.40525155645171,2.20945184707822
500,15,1,0.364243886617604,453343.759379201,3.46199646123637,0.437639446318242,2.60422314645262,4.31976977602012
500,16,1,0.874536149925806,10523.2379996099,1.55188550877206,0.164815621727159,1.22884689018683,1.87492412735729
500,17,1,1.1166079363453,9.8540756354272,1.65368876588148,0.192050752511969,1.27726929095802,2.03010824080494
500,18,1,0.64737229169454,61.9392414454329,1.51346182903349,0.175342349830892,1.16979082336495,1.85713283470204
500,19,1,0.325610858369184,711783.75192732,4.47164739006429,0.736183314580016,3.02872809348746,5.91456668664112
500,20,1,1.08226665725599,16.2022302955911,1.40412773931263,0.174758544911271,1.06160099128654,1.74665448733872
500,21,1,0.780651659209034,15.6850919890035,1.22590345954704,0.15933156498875,0.913613592169089,1.53819332692499
500,22,1,0.271041281063337,12314588.6957646,3.0541593468842,0.459788444164478,2.15297399632182,3.95534469744657
500,23,1,0.355380972953794,165898760.336425,1.89690798386785,0.245287333813222,1.41614480959393,2.37767115814176
500,24,1,0.826460798362535,621.839922312662,1.46961088573601,0.184811644324534,1.10738006285992,1.8318417086121
500,25,1,0.461616080245371,6830.93269075556,3.35766501817466,0.44596352463419,2.48357650989165,4.23175352645768
500,26,1,0.400702088085649,163327.454607319,2.92712548256749,0.330395527019053,2.27955024961015,3.57470071552484
500,27,1,0.900443158883712,16.4189339996218,1.60277593774077,0.17807408376877,1.25375073355398,1.95180114192756
500,28,1,0.765988668449605,16.3864697265848,1.83720927827967,0.172551659988243,1.49900802470272,2.17541053185663
500,29,1,0.942199809958725,44.7066227163485,1.2998837769792,0.200252509318403,0.907388858715132,1.69237869524327
500,30,1,0.798176892304359,35039.1295517924,1.79145374350545,0.17253781594813,1.45327962424711,2.12962786276378
500,31,1,0.937418992118625,3045.28555411978,1.75023091885232,0.171414883674087,1.41425774685111,2.08620409085353
500,32,1,0.16433131554196,24531150.7622681,2.47675313165232,0.534045315780588,1.43002431272237,3.52348195058228
500,33,1,0.308221403056111,824601.616225163,2.30370936192837,0.227356507739335,1.85809060675928,2.74932811709747
500,34,1,0.478103333450747,802391.746427467,2.20231754668829,0.1937940353806,1.82248123734232,2.58215385603427
500,35,1,0.760135194201236,17.1424400416349,1.73218840938365,0.185980984370493,1.36766568001748,2.09671113874981
500,36,1,0.463248846557048,16.1078371657817,1.45504990881621,0.188606509037145,1.0853811511034,1.82471866652901
500,37,1,0.60637970137335,16691.3573376087,1.76435318137285,0.202717107186405,1.3670276512875,2.1616787114582
500,38,1,0.339836535229839,977551.953913814,3.1205142977179,0.455829889984125,2.22708771334902,4.01394088208679
500,39,1,0.384609217002156,269686.049704783,4.08836353783845,0.579006106331928,2.95351156942787,5.22321550624902
500,40,1,0.556213638700211,5853.71074097748,1.34285198201439,0.180801171156391,0.988481686547861,1.69722227748092
500,41,1,0.810963412762157,18.2170932970092,1.68328831129887,0.174389409628361,1.34148506842728,2.02509155417045
500,42,1,0.351226549121268,27670.053800882,2.16089310704797,0.200271401168725,1.76836116075727,2.55342505333867
500,43,1,0.744004004360374,10.1047365251122,1.2854215489943,0.175686382487054,0.941076239319672,1.62976685866892
500,44,1,0.928395222639493,13.9402948573061,1.50389279969268,0.176014316587452,1.15890473918128,1.84888086020409
500,45,1,0.159500590201094,837463.518587207,2.16022612528767,0.224980793825348,1.71926376938999,2.60118848118536
500,46,1,0.736073770263376,9.19373692854041,1.49339834242436,0.173679389200275,1.15298673959182,1.8338099452569
500,47,1,1.14026112245326,8.84897895707096,1.42565281294821,0.190612044798932,1.05205320514231,1.79925242075412
500,48,1,0.426742220092288,1345616.80022805,2.69054407277825,0.289417169161772,2.12328642122118,3.25780172433532
500,49,1,1.25457979328593,9.50100412119101,1.68210921564206,0.200667215629652,1.28880147300795,2.07541695827618
500,50,1,0.785152808867025,5125.96438647721,1.81087200709135,0.192463655596181,1.43364324212284,2.18810077205987
500,51,1,0.7859343505757,5181.27014307965,1.94744029299718,0.197358275613177,1.56061807279536,2.33426251319901
500,52,1,1.01709405271476,13.4611125265683,1.25450067284844,0.158428439939065,0.94398093056787,1.565020415129
500,53,1,0.881250715859137,16.3515023053486,1.47401890926543,0.183006046951831,1.11532705723984,1.83271076129102
500,54,1,0.681534166044119,41.8250534039962,1.45483778809285,0.17111405562488,1.11945423906808,1.79022133711761
500,55,1,0.681345449355384,362056.995782652,1.25382081701126,0.16856156664048,0.923440146395917,1.5842014876266
500,56,1,0.61261785091113,20395.6978029133,1.32599207446001,0.179852936197764,0.973480319512393,1.67850382940763
500,57,1,1.3916420676851,1,-1.95846538615316,0.346485907107319,-2.6375777640835,-1.27935300822281
500,58,1,0.627230164994947,29791.1942741401,1.3570584485099,0.185325503263762,0.993820462112926,1.72029643490687
500,59,1,0.144402842746207,2885311.84579433,2.73809486444117,0.523783897433761,1.711478425471,3.76471130341134
500,60,1,0.441362798765084,80852.0069648141,2.22804451210067,0.230639933318358,1.77599024279669,2.68009878140465
500,61,1,1.06366475024365,26854.9826660286,1.49787498622511,0.186183691467498,1.13295495094882,1.86279502150141
500,62,1,0.72630255899236,163086.149712509,2.57706892536519,0.267899438370306,2.05198602615939,3.10215182457098
500,63,1,0.660335954448609,9210.37156538885,2.28352212689935,0.201235301604327,1.88910093575487,2.67794331804383
500,64,1,0.472882872993337,9579.9017250474,2.30995558779503,0.206959947794872,1.90431409011708,2.71559708547298
500,65,1,0.518616738681679,4844.78029859027,2.89458888827666,0.292641644084567,2.32101126587091,3.46816651068241
500,66,1,1.03537951563961,15.8910459266561,1.43092653259357,0.183575522694186,1.07111850811296,1.79073455707417
