"B","j","proj_lambda","proj_cv_lambda","delta_lambda","psi_proj","psi_proj_cv","psi_delta","se_proj","se_proj_cv","se_delta","lower_proj","upper_proj","lower_proj_cv","upper_proj_cv","lower_delta","upper_delta"
1,1,0.203267420588165,0.203267420588165,0.203267420588165,1.47971698505272,1.47972719801488,1.4797511786833,0.118266366654294,0.118266394030662,0.117265374631052,1.2479149064103,1.71151906369513,1.24792506571478,1.71152933031498,1.24991104440644,1.70959131296017
1,2,0.194028602612065,0.194028602612065,0.194028602612065,1.47971736919074,1.47972295348273,1.4797511086773,0.118266502109221,0.118266449512743,0.117206520226241,1.24791502505666,1.71151971332481,1.24792071243775,1.71152519452771,1.25002632903386,1.70947588832073
1,3,0.185209703171599,0.185209703171599,0.185209703171599,1.47971948395227,1.47972056556885,1.47975095012112,0.118266494751887,0.118266469827716,0.116967887630887,1.24791715423858,1.71152181366597,1.24791828470652,1.71152284643117,1.25049389036459,1.70900800987766
1,4,0.176791636321246,0.176791636321246,0.176791636321246,1.47971766434956,1.47971943659908,1.47975094722154,0.118266477279118,0.118266427247799,0.116957137083592,1.24791536888249,1.71151995981663,1.2479172391934,1.71152163400477,1.2505149585377,1.70898693590538
1,5,0.168756183601166,0.168756183601166,0.168756183601166,1.47971645162921,1.47971906172846,1.47975094722187,0.118266487624765,0.118266427047883,0.116957165557313,1.24791413588467,1.71151876737375,1.24791686471461,1.71152125874231,1.25051490272953,1.7089869917142
1,6,0.161085954608634,0.161085954608634,0.161085954608634,1.47971729412089,1.4797208272995,1.48060517115875,0.118266531008054,0.11826646275139,0.117291360209787,1.24791489334511,1.71151969489668,1.24791856030678,1.71152309429222,1.25071410514756,1.71049623716993
1,7,0.15376434936157,0.15376434936157,0.15376434936157,1.4797165639297,1.47972271584447,1.48060518472291,0.11826652946393,0.118266441592484,0.117280178710956,1.2479141661804,1.711518961679,1.2479204903232,1.71152494136574,1.25073603444944,1.71047433499638
1,8,0.146775522372698,0.146775522372698,0.146775522372698,1.47971466561558,1.47972474224099,1.47975059869966,0.11826657769412,0.118266445416878,0.117202508738856,1.24791217333511,1.71151715789606,1.24792250922391,1.71152697525807,1.2500336815715,1.70946751582781
1,9,0.140104348356593,0.140104348356593,0.140104348356593,1.47971466561558,1.47972474224099,1.47975059918656,0.11826657769412,0.118266445416878,0.117202436218336,1.24791217333511,1.71151715789606,1.24792250922391,1.71152697525807,1.25003382419863,1.7094673741745
1,10,0.133736389495398,0.133736389495398,0.133736389495398,1.47971417332516,1.47972328996075,1.47975058821558,0.118266596715788,0.118266460113733,0.117215152912171,1.24791164376221,1.7115167028881,1.24792102813784,1.71152555178367,1.25000888850772,1.70949228792344
1,11,0.127657864192358,0.127657864192358,0.127657864192358,1.47971411006604,1.47972398237131,1.47975058750315,0.118266590672811,0.118266453106714,0.117212698948912,1.24791159234733,1.71151662778475,1.24792173428215,1.71152623046047,1.25001369756328,1.70948747744302
1,12,0.121855617245561,0.121855617245561,0.121855617245561,1.4797140933809,1.47974178651156,1.47975045309941,0.11826658878625,0.118266390355485,0.117325656068198,1.24791157935985,1.71151660740195,1.24793966141481,1.71154391160831,1.24979216720574,1.70970873899308
1,13,0.116317091377326,0.116317091377326,0.116317091377326,1.47971416074216,1.47972753115389,1.48060544082915,0.118266553879404,0.118266417103984,0.117351161684732,1.24791171513853,1.71151660634579,1.24792535363008,1.7115297086777,1.25059716392708,1.71061371773123
1,14,0.11103030005762,0.11103030005762,0.11103030005762,1.47971701698897,1.47972753115389,1.47975043881446,0.118266602583564,0.118266417103984,0.117362254295629,1.24791447592519,1.71151955805276,1.24792535363008,1.7115297086777,1.24972042039503,1.70978045723389
1,15,0.105983801562701,0.105983801562701,0.105983801562701,1.47971721169195,1.47972448398275,1.48060545941945,0.118266573003284,0.118266440518073,0.117340616453094,1.24791472860551,1.71151969477838,1.24792226056733,1.71152670739817,1.25061785117138,1.71059306766751
1,16,0.101166674212831,0.101166674212831,0.101166674212831,1.47971586033669,1.47974415749305,1.48060563363246,0.118266583311703,0.118266390668268,0.117463601694934,1.24791335704575,1.71151836362763,1.24794203178324,1.71154628320285,1.25037697431039,1.71083429295453
1,17,0.096568492735468,0.096568492735468,0.096568492735468,1.47971599149415,1.47974415749305,1.48060559864847,0.118266582851827,0.118266390668268,0.117458453711516,1.24791348910457,1.71151849388373,1.24794203178324,1.71154628320285,1.2503870293739,1.71082416792304
1,18,0.0921793057028005,0.0921793057028005,0.0921793057028005,1.47971556074685,1.47972861758405,1.48060564932546,0.118266588465412,0.118266411667099,0.11751019246288,1.24791304735464,1.71151807413905,1.24792645071653,1.71153078445156,1.25028567209821,1.7109256265527
1,19,0.0879896139947676,0.0879896139947676,0.0879896139947676,1.47971541125132,1.47973727916492,1.48060569991795,0.118266552416236,0.118266393863944,0.117622640817736,1.24791296851549,1.71151785398714,1.2479351471916,1.71153941113825,1.25006532391519,1.71114607592071
1,20,0.0839903502409759,0.0839903502409759,0.0839903502409759,1.47971541125132,1.47974415749305,1.48060569985026,0.118266552416236,0.118266390668268,0.117623645209332,1.24791296851549,1.71151785398714,1.24794203178324,1.71154628320285,1.25006335523997,1.71114804446055
1,21,0.0801728591970105,0.0801728591970105,0.0801728591970105,1.47971489835341,1.47974415749305,1.48060570430415,0.118266587395637,0.118266390668268,0.117619759716283,1.24791238705796,1.71151740964885,1.24794203178324,1.71154628320285,1.25007097526023,1.71114043334806
1,22,0.0765288790126729,0.0765288790126729,0.0765288790126729,1.47971478442137,1.47974415749305,1.48060571646852,0.11826659882214,0.118266390668268,0.117643404012269,1.24791225072997,1.71151731811276,1.24794203178324,1.71154628320285,1.25002464460447,1.71118678833257
1,23,0.0730505233516071,0.0730505233516071,0.0730505233516071,1.47971512428866,1.47974178651156,1.48060579257193,0.118266593266185,0.118266390355485,0.117504199025861,1.24791260148693,1.71151764709038,1.24793966141481,1.71154391160831,1.25029756248124,1.71091402266262
1,24,0.0697302643236159,0.0697302643236159,0.0697302643236159,1.47971635562164,1.47974677905427,1.48060595520239,0.118266594475966,0.118266389852626,0.117700225815161,1.24791383044875,1.71151888079453,1.24794465494313,1.71154890316542,1.24991351260467,1.7112983978001
1,25,0.0665609161927293,0.0665609161927293,0.0665609161927293,1.47971650250418,1.47974677905427,1.48060596751046,0.118266599002144,0.118266389852626,0.117725344091044,1.24791396845998,1.71151903654838,1.24794465494313,1.71154890316542,1.24986429309201,1.7113476419289
1,26,0.0635356198257674,0.0635356198257674,0.0635356198257674,1.4797179049156,1.47975230246351,1.48060596818856,0.118266538535194,0.118266387313894,0.117762547441388,1.24791548938662,1.71152032044458,1.24795018332828,1.71155442159874,1.24979137520344,1.71142056117368
2,1,0.2089146419009,0.2089146419009,0.2089146419009,1.38616184117422,1.38616407642418,1.38619090632149,0.121573635922342,0.121573637206055,0.119296232297484,1.14787751476643,1.62444616758201,1.14787974750031,1.62444840534805,1.15237029101842,1.62001152162456
2,2,0.199419149000564,0.199419149000564,0.199419149000564,1.38616140519281,1.38617247690788,1.38619085408928,0.121573654433633,0.121573642089528,0.119322583857798,1.14787704250289,1.62444576788273,1.14788813841241,1.62445681540335,1.15231858972799,1.62006311845056
2,3,0.190355240907305,0.190355240907305,0.190355240907305,1.38616322581445,1.38616242656411,1.3861908578992,0.12157378668879,0.121573760028568,0.119328530762961,1.14787860390442,1.62444784772447,1.14787785690812,1.62444699622011,1.1523069376038,1.6200747781946
