"n","B","j","psi_relax","psi_tmle","lower_relax","lower_tmle","upper_relax","upper_tmle"
500,1,1,1.44471781643481,1.44766745416419,1.22428352819464,1.22686597301466,1.66515210467498,1.66846893531371
500,2,1,1.24070096325177,1.24333512065883,1.02956574001916,1.03180689922147,1.45183618648439,1.45486334209619
500,3,1,1.27383512194072,1.26775934353924,1.05355145829864,1.04649059992522,1.49411878558281,1.48902808715326
500,4,1,1.29650985588701,1.29373649220923,1.07795811289945,1.07577565029516,1.51506159887456,1.5116973341233
500,5,1,1.52832603556637,1.52477117498578,1.31532919298971,1.31078024952263,1.74132287814303,1.73876210044892
500,6,1,1.60508868351338,1.60355576935934,1.37486520807241,1.37392615581972,1.83531215895435,1.83318538289896
500,7,1,1.55539476701603,1.56341467287937,1.32364433480557,1.33134675316759,1.78714519922649,1.79548259259116
500,8,1,1.3819718104727,1.38571175025291,1.16482165442897,1.16794410729539,1.59912196651644,1.60347939321044
500,9,1,1.55563888407499,1.55873075423436,1.32932564127636,1.33173597383692,1.78195212687362,1.7857255346318
500,10,1,1.57229750160449,1.57208607662057,1.34506254471832,1.34462925742468,1.79953245849066,1.79954289581646
500,11,1,1.54529116898175,1.53718112544361,1.30971399090213,1.30232675586942,1.78086834706136,1.7720354950178
500,12,1,1.49322137049744,1.49444888126887,1.26926003232948,1.27002793600746,1.71718270866539,1.71886982653029
500,13,1,1.44041725506443,1.43424119152959,1.22535858094219,1.21905519758544,1.65547592918666,1.64942718547375
500,14,1,1.57982321532029,1.58172699129647,1.35000093664455,1.35163611042773,1.80964549399603,1.81181787216521
500,15,1,1.5496479903095,1.55782171033517,1.32062233942792,1.32757723837325,1.77867364119108,1.78806618229708
500,16,1,1.4628556701376,1.46233433787528,1.2349140002014,1.23466045919816,1.69079734007381,1.6900082165524
500,17,1,1.42016254430627,1.41879802733761,1.17675372156738,1.1752725432607,1.66357136704515,1.66232351141452
500,18,1,1.64227616956,1.63824292515272,1.42144612489796,1.41645840866471,1.86310621422204,1.86002744164072
500,19,1,1.29856273224012,1.29503532223637,1.10219353380563,1.09765935565316,1.49493193067461,1.49241128881959
500,20,1,1.53368053060249,1.52749679822806,1.30220046590285,1.29599187191949,1.76516059530212,1.75900172453662
500,21,1,1.65720295329402,1.66260421772263,1.4199429009028,1.42539128523237,1.89446300568524,1.8998171502129
500,22,1,1.27568146513441,1.27265322443981,1.05143166936423,1.04975719705436,1.49993126090459,1.49554925182526
500,23,1,1.53121387879816,1.52962642292197,1.3056583226902,1.3028892250233,1.75676943490612,1.75636362082064
500,24,1,1.56431873420199,1.56535421666973,1.33652651573871,1.33782628373248,1.79211095266526,1.79288214960698
500,25,1,1.42683951638317,1.42595821366285,1.21125969529714,1.2105995345828,1.64241933746919,1.6413168927429
500,26,1,1.4364938587164,1.43583096664793,1.21765615864803,1.21662294101114,1.65533155878478,1.65503899228472
500,27,1,1.34796572994748,1.35216373431793,1.12844783075398,1.13256490063565,1.56748362914098,1.57176256800022
500,28,1,1.28666875788454,1.28527623531801,1.05427957800742,1.05250466803044,1.51905793776166,1.51804780260559
500,29,1,1.22236634092459,1.22705537455229,1.0078869152736,1.01137776613317,1.43684576657559,1.4427329829714
500,30,1,1.50774871004359,1.49717914508118,1.27997261834025,1.26907918301423,1.73552480174694,1.72527910714814
500,31,1,1.39503173341801,1.38917222362144,1.1757138513211,1.16867000050147,1.61434961551492,1.60967444674142
500,32,1,1.52969686978579,1.53955218042428,1.29845357444695,1.30931559277511,1.76094016512463,1.76978876807346
500,33,1,1.27361991610432,1.27101629391974,1.06527355144059,1.06237530524327,1.48196628076805,1.47965728259622
500,34,1,1.41076277733429,1.40799578677546,1.17791116504086,1.17573159949667,1.64361438962772,1.64025997405426
500,35,1,1.50941986602583,1.51250532468182,1.28955325231897,1.29266652099185,1.72928647973268,1.7323441283718
500,36,1,1.37569695820724,1.37510191239738,1.15476034669179,1.15396979488921,1.59663356972269,1.59623402990556
500,37,1,1.39454650676242,1.39790339908722,1.16340117690704,1.16601575937992,1.6256918366178,1.62979103879451
500,38,1,1.53111762252723,1.52008562975568,1.31369971879906,1.30137111980126,1.74853552625541,1.73880013971011
500,39,1,1.5995476089563,1.59923764108556,1.38421857736183,1.38342555333092,1.81487664055077,1.8150497288402
500,40,1,1.34602908764398,1.3450803404658,1.11227067592587,1.11118488180636,1.57978749936209,1.57897579912524
500,41,1,1.29560595975942,1.29775431948016,1.07980872004413,1.08191982987651,1.51140319947472,1.5135888090838
500,42,1,1.26639393017901,1.2822534899555,1.0325326963416,1.04664101197803,1.50025516401642,1.51786596793298
500,43,1,1.63394838153574,1.63610664333631,1.40239896911049,1.40474167569001,1.86549779396099,1.86747161098262
500,44,1,1.63434500837812,1.63227188958524,1.40613199372784,1.40458161441456,1.86255802302839,1.85996216475591
500,45,1,1.2782445817727,1.27818535158495,1.05391621011682,1.05361360295421,1.50257295342858,1.50275710021569
500,46,1,1.57342673966767,1.57440112197434,1.33454089336784,1.33449347065882,1.8123125859675,1.81430877328986
500,47,1,1.43715224977581,1.44161764224714,1.20847595527771,1.21245719520057,1.66582854427391,1.67077808929371
500,48,1,1.4876393887456,1.48361604894956,1.26452233797469,1.26070491321503,1.7107564395165,1.70652718468409
500,49,1,1.49399101675645,1.49600685129548,1.27683093479892,1.2789294340364,1.71115109871399,1.71308426855456
500,50,1,1.33463956941837,1.32988519468338,1.10748010817322,1.10298720461713,1.56179903066352,1.55678318474963
