"n","B","j","lambda","psi_relax","psi_tmle","lower_relax","lower_tmle","upper_relax","upper_tmle"
500,1,1,0.148780458261011,1.53929773665646,1.53814712899084,1.31906768385449,1.31859264982161,1.75952778945842,1.75770160816007
500,1,2,0.142018156814488,1.5401423144167,1.53814461958144,1.31998892048337,1.31857926627439,1.76029570835002,1.75770997288849
500,1,3,0.11790596878111,1.5387678691648,1.53828943119143,1.31855486251395,1.31872923353087,1.75898087581565,1.75784962885198
500,1,4,0.102548598750054,1.5381878812955,1.53833109288889,1.31801577480156,1.3187609917644,1.75835998778945,1.75790119401338
500,1,5,0.0978876066696976,1.53806384513749,1.53833456763475,1.31787546095526,1.31876636817627,1.75825222931972,1.75790276709323
500,1,6,0.0851376482696114,1.5374770954039,1.53833087779421,1.31744683567318,1.31876533978838,1.75750735513462,1.75789641580004
500,1,7,0.0812680107595756,1.53756791845721,1.53832683916239,1.3175272291147,1.3187628640702,1.75760860779972,1.75789081425458
500,1,8,0.0740483846677182,1.53763591011832,1.53828809813571,1.31771127030998,1.31872262339033,1.75756054992667,1.75785357288109
500,1,9,0.0706827713028722,1.53749277826308,1.53827910085726,1.31761360498875,1.31871488968238,1.75737195153742,1.75784331203214
500,1,10,0.0644035087102058,1.53818604396949,1.53800159689088,1.31840795312681,1.31844862681486,1.75796413481216,1.75755456696691
500,1,11,0.061476269842934,1.53851281596701,1.53801265086601,1.31869853360156,1.31845866434314,1.75832709833246,1.75756663738889
500,1,12,0.0586820784998991,1.53879852915002,1.53797863486057,1.31896597413038,1.3184358154688,1.75863108416966,1.75752145425233
500,1,13,0.0560148874657873,1.53824647940273,1.53801387415744,1.31848636198682,1.31847185455557,1.75800659681864,1.7575558937593
500,1,14,0.0534689243805535,1.53835418105785,1.53807130214763,1.31858148323369,1.31850487965622,1.75812687888202,1.75763772463903
500,1,15,0.0510386792468257,1.53825364983285,1.53800082836395,1.31854335327283,1.31842749571316,1.75796394639287,1.75757416101474
500,1,16,0.0443908403698556,1.53813664999664,1.53789916961375,1.31856817681225,1.31832853907796,1.75770512318102,1.75746980014954
500,1,17,0.0423732081649675,1.53769439901356,1.53805273985424,1.31823511117582,1.31851328830481,1.75715368685129,1.75759219140367
500,1,18,0.0386088891370472,1.53710866105017,1.53788513577184,1.31784118869713,1.31834558317965,1.75637613340322,1.75742468836402
500,1,19,0.0368540555391962,1.53592731513345,1.53788804830297,1.31699714074701,1.3183415008533,1.75485748951988,1.75743459575264
500,1,20,0.0351789818366693,1.53653570160355,1.53790044456896,1.3176278547111,1.31835538087753,1.755443548496,1.7574455082604
500,1,21,0.0335800428191273,1.53544818115945,1.53792198649901,1.31664870743137,1.31834418013394,1.75424765488752,1.75749979286407
500,1,22,0.0320537780476363,1.53668102959615,1.53782854670925,1.31775784514777,1.31824572808647,1.75560421404452,1.75741136533203
500,1,23,0.0305968843655522,1.53934481380949,1.53796410087882,1.32023541644973,1.31838519443129,1.75845421116926,1.75754300732635
500,1,24,0.0292062087497985,1.53972684471112,1.53796786287416,1.32064564601909,1.31838997020429,1.75880804340314,1.75754575554403
500,1,25,0.0278787414870635,1.53834775481497,1.53812381876369,1.31919718530184,1.31854602326549,1.7574983243281,1.7577016142619
500,1,26,0.0266116096601507,1.53807680897367,1.53820552004044,1.31894578130519,1.31864257112071,1.75720783664216,1.75776846896018
500,1,27,0.0242475076026125,1.53606485320893,1.53820556807706,1.31710662101379,1.31864262090767,1.75502308540408,1.75776851524644
500,1,28,0.0231454209599698,1.53663942623649,1.53815502453919,1.31778804920229,1.31859198871077,1.75549080327069,1.75771806036761
500,1,29,0.0220934258561277,1.53664135840773,1.53816771661283,1.31779135777441,1.31860515656542,1.75549135904105,1.75773027666025
500,1,30,0.0210892455533393,1.53606594864949,1.53811871858547,1.3172769384889,1.31857102674769,1.75485495881007,1.75766641042325
500,1,31,0.0201307067951025,1.53676921264894,1.53812588748957,1.31790351646209,1.31857798838978,1.75563490883579,1.75767378658935
500,1,32,0.019215735102777,1.5367142860505,1.53811713588307,1.3178500029323,1.31856803185325,1.75557856916869,1.75766623991289
500,1,33,0.0183423502859784,1.53668871162803,1.53811786636893,1.31782709423532,1.31856849551065,1.75555032902073,1.75766723722722
