"B","j","proj_lambda","delta_lambda","psi_proj","psi_delta","se_proj","se_delta","lower_proj","upper_proj","lower_delta","upper_delta"
1,1,0.431415157068453,0.431415157068453,1.91809928092332,1.91776353409777,0.230290203478957,0.17409407211265,1.46673048210456,2.36946807974208,1.57653915275698,2.25898791543856
1,2,0.411806672360214,0.411806672360214,1.91805753655333,1.91776467063842,0.230292265666335,0.173635213832635,1.46668469584731,2.36943037725935,1.57743965152645,2.25808968975038
1,3,0.393089423544488,0.393089423544488,1.91806123163658,1.91776467035991,0.230290186009464,0.173645102062948,1.46669246705803,2.36942999621513,1.57742027031653,2.25810907040328
1,4,0.375222902574481,0.375222902574481,1.91805096673957,1.91776633752798,0.230289320958142,0.173433303610477,1.46668389766162,2.36941803581753,1.57783706245145,2.25769561260452
1,5,0.358168442556645,0.358168442556645,1.91822543106401,1.91851830272202,0.230260621533697,0.17506264277792,1.46691461285797,2.36953624927006,1.5753955228773,2.26164108256674
1,6,0.341889134067418,0.341889134067418,1.91833867796969,1.99692309372711,0.230248677313493,0.183993380379465,1.46705127043524,2.36962608550413,1.63629606818335,2.35755011927086
1,7,0.326349745273505,0.326349745273505,1.9183951812968,1.98427328893329,0.230257939847337,0.181466311589471,1.46708961919602,2.36970074339758,1.62859931821793,2.33994725964865
1,8,0.311516645682807,0.311516645682807,1.91840253416523,1.98427309360743,0.23025785814815,0.181469189116508,1.46709713219486,2.36970793613561,1.62859348293907,2.33995270427578
1,9,0.297357733360994,0.297357733360994,1.91838820408579,1.98688610846813,0.230257866781985,0.181305884065118,1.4670827851931,2.36969362297848,1.6315265757005,2.34224564123576
1,10,0.283842365456198,0.283842365456198,1.9183803863503,1.98608910140928,0.230257231362222,0.181409429607708,1.46707621288034,2.36968455982025,1.63052661937817,2.34165158344038
1,11,0.270941291881458,0.270941291881458,1.91838227056376,1.98522914629007,0.230256804293332,0.181567078474526,1.46707893414883,2.36968560697869,1.62935767248,2.34110062010014
1,12,0.25862659201141,0.25862659201141,1.9183705427443,1.98781679006449,0.230255502824081,0.182309661134423,1.46706975720911,2.3696713282795,1.63048985424103,2.34514372588796
1,13,0.246871614256201,0.246871614256201,1.91837617219049,1.98781708535991,0.230255403136985,0.18231057631173,1.467075582042,2.36967676233898,1.63048835578892,2.3451458149309
1,14,0.235650918381872,0.235650918381872,1.91836842057135,1.9707536409355,0.230255824175966,0.183056364074717,1.46706700518646,2.36966983595624,1.61196316734906,2.32954411452195
2,1,0.25473840228583,0.25473840228583,1.56692129548861,1.60798016295956,0.17537322170506,0.153509892764039,1.22318978094669,1.91065281003053,1.30710077314204,1.90885955277708
2,2,0.24316014875444,0.24316014875444,1.56727949609743,1.6066003353612,0.175478603792082,0.154675485127963,1.22334143266495,1.91121755952992,1.30343638451039,1.909764286212
2,3,0.232108144715213,0.232108144715213,1.56801950165174,1.60660018962484,0.175517149636893,0.154589043672699,1.22400588836343,1.91203311494006,1.30360566402635,1.90959471522333
2,4,0.221558471316548,0.221558471316548,1.56807125925893,1.60660105523862,0.175509001617838,0.154554858520459,1.22407361608797,1.91206890242989,1.30367353253853,1.90952857793872
2,5,0.211488296855566,0.211488296855566,1.56816911693045,1.60660106699237,0.175494770723501,0.154610223777679,1.22419936631239,1.91213886754851,1.30356502838812,1.90963710559662
2,6,0.20187582736552,0.20187582736552,1.56889335243598,1.6066010598631,0.175537004400888,0.154617184283034,1.22484082381024,1.91294588106172,1.30355137866835,1.90965074105785
2,7,0.192700259449088,0.192700259449088,1.57027263889993,1.60659150793824,0.175748036590059,0.157371540150488,1.22580648718342,1.91473879061645,1.29814328924328,1.9150397266332
2,8,0.183941735255462,0.183941735255462,1.5712399627742,1.60658983142726,0.175775482425361,0.156525192515752,1.22672001722049,1.9157599083279,1.29980045409638,1.91337920875813
2,9,0.175581299503801,0.175581299503801,1.57123514152056,1.60658981145747,0.175774874585018,0.156545465939772,1.22671638733392,1.91575389570719,1.29976069821551,1.91341892469942
2,10,0.167600858460033,0.167600858460033,1.57123514152056,1.60658981235633,0.175774874585018,0.156545480836175,1.22671638733392,1.91575389570719,1.29976066991742,1.91341895479523
2,11,0.159983140778223,0.159983140778223,1.57151519584289,1.60658981051212,0.175779692961389,0.156542279383635,1.22698699763857,1.91604339404722,1.29976694292019,1.91341267810404
2,12,0.152711660121765,0.152711660121765,1.57188495954174,1.60658951727701,0.175830814288288,0.156468903466989,1.22725656353669,1.91651335554678,1.29991046648171,1.91326856807231
2,13,0.145770679483498,0.145770679483498,1.57373498831183,1.60658916064462,0.175689554294492,0.156662715310574,1.22938346189463,1.91808651472904,1.2995302386359,1.91364808265335
2,14,0.13914517712752,0.13914517712752,1.57324314294235,1.60658813566737,0.175711588512671,0.156947986519847,1.22884842945751,1.91763785642719,1.29897008208847,1.91420618924627
2,15,0.132820814079011,0.132820814079011,1.57289527216194,1.60658772371635,0.175725193016844,0.157347454632003,1.22847389384893,1.91731665047496,1.29818671263762,1.91498873479508
3,1,0.405342864898944,0.405342864898944,1.4011124685532,1.44282486713422,0.169492977115866,0.143843007756249,1.0689062334061,1.73331870370029,1.16089257193198,1.72475716233647
3,2,0.386919406108173,0.386919406108173,1.40166724022051,1.44153611363876,0.169593720910623,0.14276811639045,1.06926354723569,1.73407093320533,1.16171060551347,1.72136162176404
3,3,0.36933332195307,0.36933332195307,1.40189467597265,1.41939608893899,0.169399242128801,0.146126250680006,1.0698721614002,1.7339171905451,1.13298863760618,1.70580354027181
3,4,0.352546552464092,0.352546552464092,1.40184354434587,1.42004697432231,0.169394351527773,0.146195004127326,1.06983061535143,1.7338564733403,1.13350476623275,1.70658918241187
3,5,0.336522767556049,0.336522767556049,1.40221785128302,1.42333148062779,0.169385739731576,0.145890341244445,1.07022180140913,1.73421390115691,1.13738641178867,1.7092765494669
3,6,0.321227288402196,0.321227288402196,1.40260686348512,1.43755217187107,0.169185429391156,0.147627983809548,1.07100342187846,1.73421030509179,1.14820132360435,1.72690302013778
3,7,0.306627012381982,0.306627012381982,1.40171094448617,1.43689051399758,0.169200566088779,0.147499379066173,1.07007783495216,1.73334405402017,1.14779173102788,1.72598929696728
3,8,0.29269034144005,0.29269034144005,1.40201188941222,1.43689049430688,0.169202995293423,0.147493137580255,1.07037401863711,1.73364976018733,1.14780394464958,1.72597704396418
3,9,0.279387113701425,0.279387113701425,1.40069085450402,1.4414455254672,0.169213739607518,0.148508288753381,1.06903192487328,1.73234978413476,1.15036927951057,1.73252177142382
3,10,0.266688538194899,0.266688538194899,1.39903794256382,1.41445561940649,0.169022204684432,0.144178280074396,1.06775442138233,1.73032146374531,1.13186619046067,1.6970450483523
3,11,0.254567132543342,0.254567132543342,1.39947682294854,1.40903165155124,0.169019089623392,0.144512684859341,1.06819940728669,1.73075423861039,1.12578678922693,1.69227651387554
3,12,0.242996663486075,0.242996663486075,1.39945578802618,1.40502896429226,0.168969765832541,0.144897196240409,1.0682750469944,1.73063652905796,1.12103045966106,1.68902746892347
4,1,0.294871630173651,0.294871630173651,1.70111823345364,1.67916823255201,0.218240048113235,0.167947996741679,1.2733677391517,2.12886872775558,1.34999015893832,2.00834630616571
4,2,0.281469259495618,0.281469259495618,1.70137096517974,1.68006112784007,0.218398278707583,0.16771376163636,1.27331033891288,2.1294315914466,1.3513421550328,2.00878010064733
4,3,0.268676047249291,0.268676047249291,1.70475890512337,1.69172571293139,0.219160199325348,0.170696264032739,1.27520491444569,2.13431289580105,1.35716103542722,2.02629039043556
4,4,0.256464306243813,0.256464306243813,1.70525484467361,1.69172581670719,0.219227462390573,0.170686657523409,1.27556901838808,2.13494067095913,1.35717996796131,2.02627166545307
4,5,0.24480760771388,0.24480760771388,1.70281032078011,1.69084623814514,0.219495627977584,0.170833480162753,1.27259888994404,2.13302175161617,1.35601261702615,2.02567985926414
4,6,0.233680724122359,0.233680724122359,1.70399198102466,1.6833908620905,0.220680217166808,0.171671153286592,1.27145875537771,2.1365252066716,1.34691540164878,2.01986632253222
